0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:34 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:34 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:34 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:37 +0530] "GET /DebateEvent/student/deletestudent?id=44 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:37 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:39 +0530] "GET /DebateEvent/student/deletestudent?id=45 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:39 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2075
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:40 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:44 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:44 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:45 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:48 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:48 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:50 +0530] "GET /DebateEvent/student/deletestudent?id=46 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:50 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:22:59 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:23:02 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:23:02 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3525
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:23:05 +0530] "GET /DebateEvent/student/deletestudent?id=47 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:23:05 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:28:32 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:28:32 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:28:36 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:28:36 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 3525
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:28:49 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:28:56 +0530] "GET /DebateEvent/student/deletestudent?id=49 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:28:56 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:28:59 +0530] "GET /DebateEvent/student/deletestudent?id=48 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:28:59 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:28:59 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:29:02 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:29:02 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:29:04 +0530] "GET /DebateEvent/student/addstudent HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:29:07 +0530] "POST /DebateEvent/student/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:29:07 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:29:10 +0530] "GET /DebateEvent/student/deletestudent?id=51 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:29:10 +0530] "GET /DebateEvent/student/details HTTP/1.1" 200 1635
